word;count
imageboard.;3
much;15
code.;3
alive;3
constantly;4
changing.;3
subculture,;3
self-governing;3
sect;3
world.;3
rich;3
history;8
foundation.;3
become;8
user;4
speak;3
different;5
language.;3
leave;9
behind;4
methods;3
conventional;3
thinking;5
once;5
knew.;3
understand;4
never;10
understand.;3
accept;4
then;14
gtfo;4
now.;7
turning;3
back.;6
milhouse,;4
nor;3
harushit;2
rozen;1
maiden;1
failed;4
/b/tard;5
am;10
loling;1
vigorously;1
this.;7
>>1000206;1
material,;2
stickied.;2
something's;1
wrong.;1
sir;3
lachdanan;2
^^;1
>>1000163;2
dat;1
sum;1
griffithhhhhhhhhhhhhhhhhhhhhh;1
irony;2
deleted;7
inappropiate;1
takes;2
1000000,;1
oshi;1
1000001.;1
>>1000238;1
oh;30
noes!!;1
saged;1
sticky!!;1
move!;1
million;5
internets;2
good;11
weeeeeeeeaboos;1
>>1000224;1
relax;1
man;2
internet;5
la-;1
>>1000168;1
agree;2
isnt;2
character;2
great;8
cudos;1
>>1000251;1
>>1000245;2
dumbass.;1
besides;2
knows;1
is.;3
manner;2
switching;1
change;2
how;28
one.;1
/b/.;4
also;7
anime/manga;1
related;1
picture.;2
reported.;1
worse;3
hazuki;1
d:;1
look;6
>>1000269;1
mod.;2
hide;1
ownage.;1
germany;8
possible!;2
i've;5
till;2
twenty;1
minutes;3
ago;2
wanted;4
sleep,;1
something;3
told;3
come;8
this...;2
thing;7
ever,;4
which;5
f*cking;1
allowed;2
burnt;1
sent;1
hell,;4
long;8
live;3
>>1000275;1
weeaboos;3
lose.;1
we're;3
reposting;3
shitty,;1
overused;1
memes;1
2;3
years;2
ago?;1
wait,;2
serious;2
business;1
saged.;1
>>1000281;2
photoshop;1
men;1
use;2
mspaint;1
edit;1
pics;1
>>1000276;1
same;10
person;3
holy;4
crap,;1
kidding;1
me.;5
x;5
>>1000296;1
and?;1
http://img.4chan.org/b/res/12973301.html;1
forced_anonymous';1
shall;2
carved;1
into;5
annals;1
victoly.;1
>>1000294;1
post?;1
[x];1
no.;2
wut?;2
read;1
thise;1
nooooooooooooooooooooooooooooooooooooooooo;1
roffles;2
h4x;1
suddenly;2
becomes;1
lmfao;1
ok,;1
awesome.;4
saging;3
crying;5
"oh;1
noes,;1
ruined!";1
laughs.;1
like;23
feel?;1
hax?;1
sucked;1
his;10
dick,;1
faggots;2
unsticky;4
epic;9
9m;2
10;2
shit?;3
v;5
wow.;2
guess;3
downtime;1
beforehand;1
could;6
stage;8
thread;37
want;5
>>1000335;1
uoooooooooooooooooo;1
hidden;1
b4;1
bumstead;1
ok;2
take;8
love,;1
tears;1
imprison;1
hopes;1
games;1
strip;1
pride,;1
promise;1
vain;1
while;4
burn;1
stake;1
dance;1
flames;1
poverty,;1
sickness;1
death;1
worthless;1
handshake,;1
slickest;1
thief,;1
steal;2
wealth;1
answer;1
prayers;1
greed;1
lust;1
evil,;1
laugh;4
trust;1
!jc8yhlzhqs;7
whyyyyyyyyyyyyyyyyyyyyyy;1
whyyyyyyyyyyy??????;1
might;1
get......okay,;1
definitely;1
example;3
superior;3
comparison;2
entire;3
rest;2
fourchan.;2
wuz;1
/a/,;4
haxxing;1
milget.;1
also,;2
thank;3
classic;1
making;4
weeaboo.;1
plz;1
awaiting;1
"user;2
post";1
1milget,;1
mods.;5
down.;1
controlled;1
illuminati;1
order;4
members;1
bohemian;1
grove;1
skull;1
bones;1
cool.;3
!ok8fhywnxk;2
1000000;1
omgwtf;1
win!!;2
mae;1
genius!;1
>>1000366;1
>>1000300;1
>>1000361;2
becuase;1
last;3
two;4
get's;2
weren't;1
complete;1
failures,;1
mods,;4
time,;1
unusuable;1
ages;1
ruins;1
surprise.;1
>>1000277;1
worry,;1
/a/-swat;1
way.;1
hell?;1
>>1000356;1
tripfake;4
hell;6
fails;3
pwned;2
>>1000392;1
mod's;2
this,;4
it?;2
saw;2
coming.;1
>>1000000.;1
>>1000403;1
justice;2
forever;3
remembered;1
true;10
possibly;1
haters;1
>>1000417;1
bad,;1
won't.;1
archived;2
longevity.;1
forgotten.;1
>but;1
crap;2
conducting;1
another;5
hysterical;1
habbo;2
raid?;1
died;1
2006;1
teenagers;1
connection,;1
manage;1
pull;2
original;1
out;14
ass;6
oh,;7
motherfuckers;1
suddenly,;1
became;2
quite;1
good.;1
try;3
that's;5
officially;2
you,;2
4chan.;3
you.;4
>>1000434;2
figuring;1
insults;1
belitte;1
people/series?;1
>>1000314;1
yes;7
coda;3
wouldn't;5
had;7
disable;1
mysql;3
three;2
hours;2
updated;1
page;2
wikiworld;1
point;2
total;1
>>1000458;1
entertaining;2
>>1000466;7
gets?;2
news;1
me!!;1
trying;9
hard.;2
wasn't;7
after;5
all?;2
better!;1
deserves;5
boards.;2
you>>1000000.;1
disgruntled;1
fag,;1
set;10
sights;1
above;1
sux;2
>>1000483;1
doesn't;7
deserve;1
board.;2
>>1000475;1
say;5
did?;1
ones;2
capable;1
staging;1
2:44;1
fucked!;1
hahaha.;2
non-anime-related;1
...off-topic;1
admin;2
rules,;1
raiding;1
retards;2
went;2
7chan.;1
again.;2
>>1000494;2
signed;1
seriously,;1
down;6
moar;1
hour;1
fifty;1
posts;8
almighty;1
>>1000495;3
such;5
travesty,;1
respond;1
accusations.;1
civilization;1
rejoice!;1
mark;1
birth;1
empire;2
chaos;1
today;4
mmm...mysql;1
error.;1
kebinu;3
!ghizeo/aqq;3
sucks.;7
perpetuating;1
joke;1
funny;5
first;5
place,;2
breaking;2
rules.;3
doing;3
job;2
deleting;1
instead;1
rubbing;2
faces;1
hereby;1
declare;1
error;1
lol'd.;2
honey;1
amused..;1
musashi;2
-gun;1
doh-;1
obvious,;1
staged.;1
>>1000526;1
happens;4
whenever;2
place.;3
couple;2
times.;2
>>1000541;5
truth;2
away;2
wuth;1
hahahahahahahahahahahahahahahahahahahahahahahaha;3
buisness,;1
always.;1
redmachined;1
!h1lzxeceva;1
redmachined@redmachined.com;1
serves;1
motherfuckin;1
right.;1
ruin;2
die;1
fairness,;1
auto-stickied.;1
congrats;2
millhouse,;2
proved;1
wrong;3
thread.;5
koj;1
!/apzexrzgw;1
retard;3
wuts;1
shit??;1
given;1
hope;2
that,;3
future,;1
everything;1
turn;4
okay.;2
>>it;1
1;7
/b/s;5
700k.;1
rather;1
channel;1
claiming;3
these;7
>>1000563;3
/n/.;1
you'd;1
/b/tards;4
reguarly;1
merry;1
little;5
rampages;1
infamous;1
hazukiget.;1
mad;4
favorite;1
characters;2
'no';1
helps;1
mil;3
-;21
house;6
>>1000570;1
moe;3
sizlack;1
gunna;1
kill;3
content.;4
trolls;1
/tv/;1
handles;1
simpsons;6
family;1
crap.;4
>>1000577;1
2get.;1
-delicious;2
ron;5
>>1000594;2
expect;3
lot;1
going;13
milhouse's;2
head.;2
>>1000599;1
laughing;6
irc;1
chan?;1
evar.;1
reaction;1
gold;1
>>1000602;1
delicious;4
witnessed;1
made;7
ips;1
visible.;1
tiem;1
4;2
outta;10
here...;1
flooding;2
anime...;1
guys;4
later.;1
marmandy_jones;1
!8wg.anyo9w;1
happened;1
flood;2
were;6
well,;1
flooded;1
server;2
rebooted.;1
is,;5
kept;1
dispite;1
downtime.;1
servers;1
restarted;1
threads;1
off?;1
yes.;3
other;4
questions?;1
>>1000617;1
plan;1
1111111get;1
part;3
useing;1
name&amp;code;1
win;8
rofl;3
image;4
limit;3
reached...;1
shittiest;2
hay;2
this?;7
>>1000633;4
love;8
cunt!;1
cuuuuuuuuuuunt!;1
swear;1
revenge;2
goddamnit!;1
gonna;7
furry;1
up;25
way,;1
cp;1
porn;3
/m/;2
jerking;1
yourselves;2
charade;1
amusing;1
insult;3
fact;3
atrocious;1
spelling,;1
punctuation.;1
vacation;2
/b/,;6
rots;1
brain.;1
disappointing;1
1mget,;1
worse.;1
nice;2
cover;1
story;1
>>very;1
nope,;1
mod?;2
before.;1
thanks;6
logical;1
explanation.;1
>>1000662;2
big;2
clever;1
malintex_terek;1
!nidguvjc7m;1
haha,;1
hillarious.;1
ultra;1
>>1000669;1
imposter.;1
>>1000686;1
woooooooooooooooooooooot!!!;1
it!;5
/b/!;1
found;1
way!;1
bless;2
thrillhouse!;1
ah...;1
exquisite;1
taste;1
sour;1
grapes;1
>>1000703;1
indeed.;1
legendary!;2
evar;6
nooverlay.gif;1
7chan;1
keeps;1
getting;3
appealing;1
mmeeeee;1
dr.;1
stein;1
!wqiudqh1es;1
pretty;4
funny.;2
really;4
stupid,;1
etc;1
aside,;1
having;2
hearty;1
chuckle;1
*hah;1
hah;1
hah*;1
lovin;1
exploitable;1
gundoh;1
>>1000724;1
heart;1
>>1000624;1
know!;1
thx.;1
normally;2
deleted?;1
?;2748
/?;76
?.?;6
???;233
/???;11
.?;25
|???|;4
//?;9
?????????;42
??;349
??/;13
???????;63
??????;473
??????????;21
?????;86
????????????;13
????;159
)??;1
???/;6
??);1
?(??;2
????,???โด);1
???????????;18
)?;2
)??)???,;1
?_??_/(_??_/??_/??>;1
??????y??|/??y??/??y;1
?โด??;3
???????????????????;5
>>1000749;1
2ch;1
comeing;1
amerikan;1
pigs;1
fucking>>1000001nowwwwwwwwwwwwwwwww!;1
>>1000752;2
normally.;1
exactly;5
normal;2
though.;1
does.;1
>>1000766;1
never.;1
>>1000764;1
????no??(;1
???)?;1
u;2
???????|?y;1
|??;19
goes;1
down,;2
count.;1
erase;1
allow;1
modget,;2
since,;1
unlike;1
rules;4
red;4
"x;2
no";2
overlay;1
>>1000784;2
wee/a/boo.;4
>>1000051;1
happen!?;1
>>1000789;1
late.;1
somebody;11
update;1
wiki;1
information.;1
>>1000001;35
โด?????????mod:;1
fake;3
__???;1
????โด?โด-???????;1
?????โด???;;1
/??;36
??__??_???|;1
!??,,,???_?_????;?;1
>?;2
&lt;_;1
???,,;1
__,+?__??/??/;1
???_???;1
???__,+?_??;1
??___;1
?.=?????;1
??j?.??|;1
?.;15
|,?|?-โด;1
??????/"";1
?|??;5
|:?|;1
:|:??;1
?|??|?|;1
|?,,?;1
?????.,?;1
?โด?;2
????|??;4
|????????????anonymous:;1
he's;3
get!?;1
???/?????;;?;1
|?????????(????);1
|????????;1
/;177
/??::|?????_????????;1
???,?;4
???(?????????;1
??????????(/"?;1
>>1000821;1
>>1000822;1
enough;5
sourgrapes,;1
retard.;1
>>1000791;2
fixed;4
mean.;1
>>1000828;2
cause;2
?_?;2
surprise;1
porn,;2
flaccid;1
dick;2
keep;9
despite;1
board?;1
extreme;1
letting;1
stay.;1
>>1000854;1
allowing;1
pissed;5
i,;1
one,;1
embrace;1
lord.;1
millhouse;9
status;1
?????????????????????????;11
?โด?????;1
.//;1
|??????????;1
?????????(.)?(.)?;1
?//?|?;1
|????;5
???/????????;1
????????????/?????????;1
????????;47
y??y???????;1
?))???????????????;1
?|;24
??zonu|??;1
|???????;3
?|_?????/?/?????????))??????????????;1
????/___/?????????/?/????;1
?????___??___////____/??/;1
????????????????;8
>>1000924;1
>>1000895;1
>>1000881;1
>>1000859;1
faggot.;1
heiren;1
segaing;1
>>1000951;6
i'll;3
1000895;2
listed;1
>>1000971;1
lies.;2
whining;5
giant;1
arsonist;1
bug;1
!3armfuwmli;1
good..good.;1
>>1000986;1
lie;2
fellow;1
anonymous?;1
excuse;1
me,;4
&lt;3;2
>>1001006;1
1000971,;1
lie.;1
>>1001025;1
arguement;1
holds;1
water;1
assumption;1
anonymous.;1
however,;1
1000971;1
>>1001043;1
again,;2
telling;1
???=?????=;1
=????????;1
?shitty;1
sticky????;1
??=??_??;1
?)_=_?;1
??-=?;1
shi-;2
???=?;1
>??;3
?_??;4
)?&lt;;1
?-=????;1
??=??;1
(????;2
?vv?-=??;1
.=?(;1
??=???;1
????????-=?;1
?';14
?????????|;1
|;173
awww,;1
yotsuba;1
noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo;1
seeing;2
bitching;1
it,;2
suggest;1
get-rig,;1
following;1
unlock;1
some;10
random;1
number.;1
maybe;7
already......;1
knows??;1
tenoko;1
fails!;1
haha;5
ya;1
massive;1
failure;1
post."?;1
hilariously;1
fucked;1
>>1001153;1
expected;3
haruhi/fate/rozen;1
maiden...but;1
milhouse?;3
>>1001152;1
mod-rigged;1
>>1001162;1
hatter;2
!urdnobbffi;2
eyesore.;1
no?;1
>>999999;1
1000001,;1
(the;1
far;3
tell);1
what's;2
>>1001195;1
matter;7
whiners;1
claim,;1
talking;2
hott;1
noverlay!;1
>>1001206;2
>this;1
lurk;1
moar,;2
childfucker;1
>>1001218;2
>not;1
fix'd.;1
>>1000000is;1
bigger;1
lie,;1
unfortunately;1
modgets;1
mildly;1
scandalous.;1
>>1001227;1
modgets.;2
true.;3
>>1001232;1
700k;1
2mil;2
haven't;2
hand;2
others.;1
conclusion,;1
someone;4
archive;1
images;3
zip,;1
must;3
saved.;1
>>1001260;1
archiving;1
5;1
minutes.;1
forgets;1
know,;1
else;1
adhere;1
own;4
damn;3
unless;1
/v/,;1
sit;1
"wanh;1
wanh;1
rigged";1
bunch;1
childish;1
retards.;1
typing;1
full;2
well;5
hearing;1
won;4
month.;1
hasn't;2
spammed;1
her;1
past;2
six;1
months.;1
..;1
ugh,;1
lold;2
>>1001275;3
claim;1
ywant,;1
claims;2
bull.;1
blame;1
milhouse.;7
>>1001240;1
>>1001247;1
>>1001284;1
failure,;1
shit.;5
>>1001281;1
monster;1
teh;2
histary;1
crazyp;1
jesus;4
christ!!;1
awsome!!!;1
care.;1
load;2
>>1001311;1
/b's;1
2mill;1
cosgrove?;1
remembered...;1
country;2
club;1
adult;1
fun;2
ed;1
boon;1
b;1
e;3
s;1
t;1
r;3
clancy;1
wiggum,;1
chief;1
police;1
fine;1
failing;2
van;2
houten!;1
winning;1
failing...heh;1
heh...yeah.;1
>>1001350;1
cake;1
meme,;4
houten.;1
ryouma;1
nagare;1
this!;2
getta;2
beeeeeeeeeaaaaaaaaaaaaaaaaaaaaaaammmu!;1
...what!?;1
beam;2
work!;1
loser;1
field;1
strong!;1
>>1001363;1
ahahahahaha;1
understood;1
via;1
particular;4
mind.;1
universe,;1
physical;1
realm...and;1
eternal;1
darkness;1
light;1
existence;1
find;7
answer.;1
idea;2
idea,;1
destroy;1
universe.;1
millionhouse;1
forced;4
sad;1
.,?,...-?:.:.:.:.:.:.:.:.:.:.:.:.:::?-.??;2
/,.:.:.:.:.:.:..:.:.:.:.:.:.:.:.:.:.:.:.:.:.::.:.:.:.:.:???;2
?:.:.:.::/:.:.:.::.:.:.:.:.:.:!:.!:.:.:.:.:.?::.:.:.:..:??',;2
/:.:.:.:.:.:/.:.:.:.:.:.:.:../.;?.:??.:.:.:.:.:.:?.:.:.:.:.:?;2
????,':.:.:.:.:.:.:!.:.:.:.:.:.:.,:?:/;2
;:/??.:..:.:.:.:.!:.:.:.:.:.:.'?.;2
????!:.:.:.:.:.:.:|.:.:.:.:?.//;2
//??;5
?:.:.:.:.|:.:.:.:..:.:i;2
|:.!:.:.:.:.:.|;?..?'";2
??`;3
?--?:.!:.:..:.:.::,';2
};9
????!?:.:.:.:.:.!??;2
_,,?;2
?_???;4
/:.:.:./:/?;2
????i!;2
?:.:.:?`?''"??;2
?`??''?/:.??/:.:.;2
??}??_????'?????;2
??โด?/:.:.:.;2
???,.?-?โ…?--?7โด??/:.:.:.:.;2
!:.r(โด.._'';2
โจโด???โจr-?;2
/??_:.:.;2
/:.{;2
???__...::::::::::.r?_`???/??{?:.:.;2
.?????/:.:/{yโด,.-&lt;:::::::::::::::`??`???!_????:.:.;2
/:.:.:!?>?;2
?'?..???-?_.???;2
,'??|:.:.;2
/:.:.:.|?{~`????!?{};2
!?x-??};2
,'???:.;2
.???/:.:.::.,'?;2
!?;19
?{};4
!?i!????????:.;2
?/:.:..:./??!????,';2
!:.:.;2
??/:.:.?????????;2
?{}?????????;2
?:.;2
&lt;??????;1
?,??;2
"`?;1
?`?-;1
?_:::::::::::???;1
.??:;1
:;615
:??;9
";2
??::::::????;1
????/??:;1
:?;15
,,=-?;1
??:::???????;1
???",;1
????????";1
??_??;2
?::::::..?;1
>;2
???{{???;1
/??????;2
|???;8
"?:;1
?.??;2
?:::::?;1
.??;7
?'โด??/?????,?;1
?:;35
:????โด;1
??/???/?????/;1
}???;4
}??;5
/?.??;1
???????/;3
?_????????',????;1
??.?;3
??_?/_?;1
/?/???__;1
?.????;2
?-|???;1
?????";1
??_??/??__??????????}.???;1
???????7??????????;??;1
/?:}.??;1
????.??.;1
?;???????;1
???./.???;1
.:}????;1
????|???;1
.::::.?;1
;????;1
.:::::./???;1
.};1
l;82
.}???;2
????????????????'??????;1
??.};1
.{?????;1
?_;11
|??.;1
`:?.?;1
_;13
_,??'โด;1
??.;6
??{??;1
?.???;3
.{?;1
?`;4
{???;1
?__/?}??.????;1
{???}??.???;1
.??/?;1
{????;3
'โด?,;1
?.?"??-;1
.{{?????.???;1
/??}????}??;1
'โด???>?????;1
?.{??;1
.;38
}????.}?|??;1
,;53
??||;1
????.{?;1
/???}???;1
_?|.??'โด;1
.>|?;1
.||;1
??'}?;1
}?'::::::?;1
.???;6
}??`?.|???;1
|>|????;1
.}????}?::::::::?;1
*;4
?:.:.:.;.:.:.:.:.:.:.:???;1
_??/?;1
/:_:_:_:/:.?:.;:.:?:.:.i:.:?;1
/:vi?*;1
!:.:.:.???-?/?/:.:.:.:.',;1
:.:.:.{??;1
{.:.:.:i:!?f:t7;1
โด??:.:?:.i:.:l;1
:.:.:.i?*???:.:.?;1
xx???f??:!:?';1
:.:.:.???{:;1
.????;1
';26
x'.:/;1
?t?!;1
';;1
.?_?.?โด};1
::::::::::::{???v':.:.:.:.:.:l;1
{?!???__;1
_.?โด??;1
::::::::::::::{;1
}/!?t!?:.!?;1
??!?;2
j;2
:::::::::::::::}?;1
{;4
{i}?!{;1
'?'โด?????;1
r'';1
??/:;2
/:?:?:;2
/:?/:?:?:?:?:?:;1
/:?/:?:;1
|:?:?:?:;1
?:?:?:??}????;1
/:;23
/:?/;1
:?:?:?:?::?/:?/:?:?;1
:?:?:;1
:|:?:?:?:?|????;1
??:?|:;1
:?:?;4
|:;20
/:?:?:?:?:?;1
?"?/:;1
?:?:;4
:.|:?:?:?:?|??;1
?|:;2
:?:;12
:?:?|:;1
|??==???โด??;1
/,;1
????__?':?:?|:;1
:?:??';1
??:|?:?:?|:;1
|????^???????/;1
_????=??|:;1
:??:;5
:|;6
????:?:?|??|?^{:::}?;1
|?;47
"?????;1
|?{;:::}?^};1
:/:;6
/:?:;1
|?:?|?????'?????????_?_??;1
/:/:?:;1
/|;8
?/;32
?.????:::::::????;1
`??'?/?:?:?;1
./:?:?:;1
????,;1
:::::?;2
?/?:;2
?:?:?:;1
?โด;6
???:::::???;1
?/???/:?:;1
?????.;1
:::??;1
?????`?;1
?::|;1
?:?/;1
/???,?.??|?`???;1
????,?';1
??:.?::?;1
?::/;1
.|?'??/???|?????=;1
???.;2
???::|;1
|??????;4
??/l??.??;1
??????./;1
/??|;1
??????/?;3
?:::::::::::::::/::::::::::::::::::::::::::::::/::::::!::::::::?:::::::?;1
??|;7
??????!;1
,/::::::::::::::::::/:::::::::::::::::::::::::::::::/::::/::|::::::::::::::?::::::::??!;1
//::::::::::::::::::/:::::::::::?:::::::::::::,?:::::/!::?:::::::::::::::::?:::::::::v;1
?fl::::::::::::::://::::::::?:::::::::::::?/::::///?;1
?:::::::::::::::!::::::::::::!;1
?j;3
!::::::::::::::?::__?:?::?';1
โด;11
/::?//`;1
?-??_::::!::::|::::::::::::l;1
?????/;3
!::::::::::::::|::::/::_;?โด__-.;1
//;7
-?_??:?:::!::::::::::::j;1
?????|?!:::::::::::::l!/?.;1
{.,?:::r?"โด;1
'?;14
j;;;r;1
f''??!:?:::::::::?:!;1
??!;4
??:!::::::::????_`.???????????????:::::::;;?:|;1
?????!????:::::::??.;1
???????????????;6
?:::::?/;1
::!::|;2
?/:::/!;1
???:??:;;????;1
???????:::?/?/);1
/:::::?!;1
!!:::::;1
|:~!?;1
??.????;1
??โด!!?j?/);1
:::::l:::|;1
/::::::/:/???!!::::.;1
|:::|:::;1
,.?|:::::::||;1
!j:|:::::::l:::|;1
?/::::::/::/::::;1
|!?|?:::::|:::l::j:::;1
?โด`r;1
?=?::|::|::::::|!?;1
??::|:::::::|:::|;1
/:::::::/:::/:::::::::?!?|:::::?::??;1
j?????;2
?|::::::|!;1
!l::::|:::::::|:::|;1
:::::::/:::/:::::::::::::_j_.;1
,vf`???;1
?__?;1
?.?_???;1
?jl?;1
?!:::|:::::::|:::|;1
::::/::::/:::::::::;1
/?!?|?????:::::::::::~~:::::::::????;1
????/`?|:::::;1
|:::|;1
christ,;1
/a/!;6
rofl!;1
underestimate;1
nerdy;1
underdog;1
/a/?;4
bites;1
legacy;1
sure;2
hero,;1
/b/tard.;4
gilgamesh;1
"hay;1
whats;1
on".;1
?/:/:.:.:.:.:.:.:/:.:.:.:.:.?:.:.:.:.:.:.:.:.:.:.:.:./:.:l:.:.:.:l:.:.:.:.:.:.:.:.:.:.:.:.',;1
:.:.:.:.:.:.?;1
./:/:.:.:.:.:.:.:/:.:.:.:.:./:.:.:.:.:.:.:.:.:.:.:.:.:.:/:.:/:.:.:.::!:.:.:.:.:.:.:.:.:.:.:.:.:'&amp;#44;1
;:.:.:.:.:.:.:.:',;1
